Položka;Základ
7 Up;30
Absolut Fruit;40
Absolut Vodka;50
Amareto Disaronno;12
Ararat 10yo;3
Baileys;15
Ballantine ́s;5
Beefeater;35
Beefeater Blood Orange;10
Beefeater Pink;10
Beefeater Zesty Lemon;10
Becherovka;6
Becherovka Lemond;6
Birell Pomelo & Grep;30
Božkov Republica;15
Campari;4
Canadian Special Old;2
Captain Morgan Spiced;20
Ceder's;10
Cointreau;5
Corona;40
Crodino;14
Cubaney Elixir 12 Sistema Solera;4
Diplomatico;3
Don Papa Baroko;3
Espero Creole Caribean Orange Tuba;2
Fernet Stock/Citrus;4
Four Roses;2
Frisco;18
Grappa Po di Poli Morbida;2
Grey Goose;3
Havana Club 3yo;35
Havana Club 7yo;10
Havana Club Especial;2
Havana Club Selección de Maestros ;3
Havana Club Verde;5
Heineken;62
Hendrick ́s;4
Hill ́s Absinth;2
Hruškovice R. Jelínek;1
Chivas Regal 12yo;2
Jack Daniels;8
Jägermeister;30
Jägermeister Scharf;12
Jameson;20
Jameson Black Barrel;2
Jelzin Jablko;3
Juice;40
Kahlua;5
Kingswood;40
Kirk and Sweeney;5
Koskenkorva;10
La Hechicera reserva familiar;2
La Maison Du rhum discovery Panama;3
Laphroaig 10yo;1
Legendario Elixir 7yo;2
Lillet Blanc;2
Lipton;40
Malfy Gin Arancia;3
Malfy Gin con Limone;3
Malfy gin Originale;4
Malfy Gin Rosa;5
Malibu;4
Martell V.S.;2
Martini;6
Mattoni;60
Metaxa 7yo;3
Mirinda;40
Monkey 47;2
Olmeca Blanco;22
Olmeca Reposado;12
Peprmint Božkov;15
Pepsi;40
Pernod Absinthe;1
Pilsner Urquell;120
Polar Jahoda;6
Presidente 15 Aňos;2
Red Bull;100
Red Bull Sugarfree;25
Red Bull Tropical;50
Remy Martin V.S.O.P.;2
Sambuca Ramazzotti;3
Sandeman Porto Tawny Imperial;3
Schweppes;30
Slivovice R. Jelínek;1
The Glenlivet 12yo ;1
Tullamore Dew Honey;3
Zacapa 23 Aňos;2